wave	45000[g45]	43000[g45]	41000[g45]	39000[g40]	38000[g40]	37000[g40]	36000[g40]	35000[g40]	34000[g40]	33000[g40]	32000[g40]	30000[g40]	25000[g40]	19000[g40]	15000[g40]	12000[g40]	9500[g40]	9250[g40]	8250[g40]	7250[g40]	7000[g40]	6500[g40]	6250[g45]	6000[g45]	5750[g45]	5500[g45]	5250[g45]	4750[g45]	4500[g45]	4250[g45]	4000[g45]
0.2085	0.0025827857	0.0023900578	0.0022065623	0.0021096212	0.0020161422	0.0019238177	0.0018303387	0.0017333978	0.0016329945	0.0015256669	0.0014148772	0.0011736788	0.00063600234	0.0002491615	0.000103449915	3.824554e-05	9.831435e-06	8.263068e-06	3.6710642e-06	1.0650817e-06	6.6646953e-07	1.678003e-07	5.7149038e-08	1.6549217e-08	4.902446e-09	1.5891403e-09	4.690099e-10	3.012096e-11	3.4240952e-12	7.3490525e-13	3.1390426e-13
0.2095	0.002859294	0.0026588868	0.0024596453	0.0022475866	0.0021532092	0.002056501	0.0019551325	0.001846773	0.0017302573	0.0016067508	0.001473923	0.0011907899	0.0006075126	0.00023664327	9.851398e-05	3.6818943e-05	9.534475e-06	8.00346e-06	3.4651753e-06	9.825765e-07	6.281358e-07	1.8828928e-07	7.433698e-08	2.5819867e-08	7.797227e-09	2.286037e-09	6.7742195e-10	4.3099135e-11	5.3189393e-12	1.0064621e-12	4.1619388e-13
0.2105	0.0028960658	0.0027019754	0.0025102375	0.0022314528	0.0021420538	0.0020503018	0.0019561972	0.0018562112	0.0017491673	0.0016338894	0.0015092009	0.0012374743	0.00063626404	0.0002443188	0.00010024482	3.6736044e-05	9.23518e-06	7.693043e-06	3.2207265e-06	9.586896e-07	6.4555684e-07	2.3714334e-07	1.14854544e-07	4.809916e-08	1.6280078e-08	4.4005617e-09	1.0505591e-09	5.1498684e-11	6.1673735e-12	1.0902005e-12	4.5170158e-13
0.2115	0.0029105844	0.0027193958	0.0025282067	0.0022503296	0.002162454	0.0020722032	0.0019795776	0.0018810143	0.001775326	0.0016589501	0.0015330742	0.0012516346	0.0006438674	0.00024652688	0.000100985766	3.6943406e-05	9.344509e-06	7.801934e-06	3.338088e-06	1.0688768e-06	7.4053065e-07	2.8939596e-07	1.5152615e-07	6.5657375e-08	2.2598297e-08	5.9897953e-09	1.3466352e-09	5.831857e-11	6.0847963e-12	1.1078273e-12	4.729848e-13
0.2125	0.002880632	0.0026876312	0.0024970272	0.0022249077	0.0021373979	0.0020474906	0.0019551856	0.0018568869	0.0017537931	0.001642308	0.0015212327	0.0012575045	0.00065536477	0.00025257978	0.00010300987	3.7569294e-05	9.636871e-06	8.08567e-06	3.5015923e-06	1.0679797e-06	7.1782046e-07	2.595326e-07	1.3090514e-07	5.507126e-08	1.8652782e-08	5.02762e-09	1.1999637e-09	5.852371e-11	6.752643e-12	1.2790822e-12	5.456778e-13
0.2135	0.0028763458	0.0026863643	0.0024975927	0.0022277462	0.0021406207	0.0020510755	0.0019591097	0.0018623038	0.0017582375	0.0016444905	0.001521063	0.0012500065	0.0006496887	0.00024588703	9.6576e-05	3.3615856e-05	8.074824e-06	6.6844486e-06	2.765019e-06	8.6968015e-07	5.972925e-07	2.2894599e-07	1.2306452e-07	5.446543e-08	1.9724206e-08	5.712759e-09	1.4206268e-09	7.1842095e-11	8.98843e-12	1.619079e-12	6.7546327e-13
0.2145	0.0028544962	0.0026676164	0.0024819584	0.0022120208	0.0021265205	0.0020385769	0.0019481906	0.0018504758	0.0017454323	0.0016306172	0.0015048094	0.0012226576	0.0006179245	0.00024037863	0.000100267695	3.6728587e-05	9.254822e-06	7.73902e-06	3.3760496e-06	1.1156598e-06	7.785434e-07	3.1244338e-07	1.7600895e-07	8.0101785e-08	2.9131252e-08	7.98575e-09	1.7173393e-09	6.361239e-11	6.875464e-12	1.2837294e-12	5.533106e-13
0.2155	0.0028750093	0.0026900815	0.002502688	0.0022265294	0.0021414626	0.0020526976	0.0019614664	0.0018640711	0.0017592788	0.0016446237	0.0015213385	0.001251344	0.0006521783	0.00025162494	0.000103534854	3.772525e-05	9.448572e-06	7.887783e-06	3.4112995e-06	1.1427298e-06	8.035725e-07	3.2695218e-07	1.7876344e-07	7.9568224e-08	2.7899425e-08	7.3601223e-09	1.6039395e-09	7.0001296e-11	8.488181e-12	1.5829811e-12	6.758491e-13
0.2165	0.002747458	0.0025645432	0.0023853611	0.0021414743	0.0020581048	0.0019734912	0.0018863888	0.001794309	0.001697252	0.0015914849	0.0014782518	0.0012281436	0.0006555076	0.00024936168	0.00010020506	3.615993e-05	8.988965e-06	7.468407e-06	3.1543505e-06	1.0368916e-06	7.208344e-07	2.8320716e-07	1.4931837e-07	6.6185365e-08	2.3828722e-08	6.700662e-09	1.5454451e-09	6.7205706e-11	8.16647e-12	1.5678429e-12	6.7554117e-13
0.2175	0.002854527	0.00267243	0.002489077	0.0022077686	0.0021236273	0.0020369743	0.0019465538	0.001849854	0.0017456192	0.0016313377	0.0015082653	0.0012401432	0.00065240945	0.00024865655	9.9764016e-05	3.574124e-05	8.9214955e-06	7.4182535e-06	3.1483937e-06	1.0555344e-06	7.39816e-07	2.9662968e-07	1.5534755e-07	6.809171e-08	2.386098e-08	6.552979e-09	1.557243e-09	7.3265775e-11	8.900146e-12	1.7117115e-12	7.3943927e-13
0.2185	0.0027566291	0.0025753886	0.0023954157	0.0021520718	0.0020684223	0.0019835054	0.0018960538	0.0018035325	0.0017046741	0.0015969438	0.0014803415	0.0012216619	0.0006352287	0.00024296358	9.781914e-05	3.551299e-05	9.106381e-06	7.629842e-06	3.3687909e-06	1.1936521e-06	8.542382e-07	3.6501572e-07	2.1482695e-07	1.0081024e-07	3.7274695e-08	9.991037e-09	2.0075863e-09	7.173573e-11	8.148216e-12	1.6210246e-12	7.148224e-13
0.2195	0.0028292434	0.0026501776	0.0024698325	0.00219228	0.0021104212	0.0020260045	0.0019377505	0.0018431013	0.0017420568	0.00163078	0.00151055	0.0012429741	0.0006502656	0.00025030877	0.000102195554	3.7706195e-05	9.761658e-06	8.202504e-06	3.6951558e-06	1.3084612e-06	9.2845744e-07	3.8307343e-07	2.1577459e-07	9.826889e-08	3.5570192e-08	9.711775e-09	2.1782105e-09	1.02924606e-10	1.4376445e-11	2.6552937e-12	1.1103374e-12
0.2205	0.0028099061	0.002633077	0.002454957	0.002178742	0.0020961356	0.0020122386	0.0019244695	0.0018315373	0.0017308608	0.0016198586	0.0014998212	0.001237159	0.0006527191	0.00024704458	9.987622e-05	3.6437137e-05	9.423576e-06	7.914719e-06	3.5391652e-06	1.2347066e-06	8.740783e-07	3.6011198e-07	2.0161109e-07	9.2532005e-08	3.4126742e-08	9.655906e-09	2.2264988e-09	9.499729e-11	1.1643621e-11	2.2561855e-12	9.78756e-13
0.2215	0.0027012974	0.0025254656	0.0023509364	0.0021151914	0.002034439	0.0019523842	0.001866422	0.0017778549	0.001681473	0.0015772764	0.0014652649	0.0012179282	0.00064719125	0.00024290837	9.639489e-05	3.425464e-05	8.619665e-06	7.2078014e-06	3.1154789e-06	1.012661e-06	6.946007e-07	2.6335695e-07	1.4131666e-07	6.289569e-08	2.31577e-08	6.9694517e-09	1.8247434e-09	9.769735e-11	1.4001421e-11	2.709112e-12	1.1498097e-12
0.2225	0.002776999	0.002599576	0.0024221528	0.0021514185	0.0020699352	0.0019871378	0.0019003978	0.0018070864	0.0017072038	0.0015981215	0.0014798396	0.0012167278	0.00063543726	0.00023630119	9.265425e-05	3.3158394e-05	8.546533e-06	7.156062e-06	3.0963604e-06	1.0320763e-06	7.2349167e-07	2.9780784e-07	1.778173e-07	8.4939636e-08	3.298754e-08	9.8791775e-09	2.3840399e-09	1.0076314e-10	1.272846e-11	2.4471237e-12	1.0524472e-12
0.2235	0.002760908	0.0025871908	0.0024108216	0.0021416266	0.0020620616	0.0019785182	0.0018923227	0.0017994967	0.0016987143	0.0015886493	0.0014679757	0.0012039521	0.0006312163	0.0002446626	0.00010022547	3.665298e-05	9.709591e-06	8.197855e-06	3.7395585e-06	1.3287367e-06	9.4960916e-07	4.0909708e-07	2.4996694e-07	1.2364413e-07	5.003317e-08	1.5488668e-08	3.6745804e-09	1.4878669e-10	2.2039525e-11	4.011406e-12	1.6324101e-12
0.2245	0.0027401783	0.0025662412	0.0023896282	0.0021273845	0.002045768	0.0019628133	0.0018758447	0.0017835243	0.001684514	0.0015761377	0.0014610715	0.0012065883	0.0006422293	0.00024351194	9.506331e-05	3.3529723e-05	8.734319e-06	7.3495116e-06	3.3436063e-06	1.2217074e-06	8.7878374e-07	3.8185885e-07	2.341461e-07	1.1613646e-07	4.7203855e-08	1.4798034e-08	3.6406373e-09	1.6283189e-10	2.4832867e-11	4.549124e-12	1.8758447e-12
0.2255	0.0026472006	0.0024757604	0.00230432	0.002077533	0.0019965374	0.001915542	0.0018318467	0.0017427517	0.001648257	0.0015443129	0.0014322692	0.001185638	0.00062636466	0.0002359667	9.287476e-05	3.3100132e-05	8.563917e-06	7.1721456e-06	3.1102245e-06	1.0136579e-06	7.0020553e-07	2.8051417e-07	1.6550067e-07	8.029347e-08	3.2722156e-08	1.0783192e-08	2.9576832e-09	1.6887547e-10	2.9495836e-11	5.4860903e-12	2.2098254e-12
0.2265	0.0027061412	0.002534539	0.0023629367	0.0021041713	0.0020251796	0.0019434643	0.0018590251	0.0017691382	0.0016710797	0.0015648496	0.0014490862	0.0011964495	0.0006394229	0.00024310329	9.5484436e-05	3.4116176e-05	8.720393e-06	7.2903745e-06	3.1433185e-06	1.0308396e-06	7.1010675e-07	2.7524467e-07	1.5035631e-07	6.934913e-08	2.6979697e-08	8.630507e-09	2.3302504e-09	1.1708454e-10	1.5512305e-11	3.1514901e-12	1.4027809e-12
0.2275	0.0026998618	0.0025294886	0.0023577418	0.0020994344	0.0020211178	0.0019400533	0.0018548669	0.0017655584	0.0016680062	0.0015608361	0.0014454222	0.0011931603	0.00063505146	0.00024497983	9.900867e-05	3.5970676e-05	9.365016e-06	7.849521e-06	3.465166e-06	1.191374e-06	8.3592664e-07	3.3799796e-07	1.8108996e-07	8.3372825e-08	3.183501e-08	9.885753e-09	2.682e-09	1.732583e-10	2.9732827e-11	5.92046e-12	2.4827735e-12
